 "label" , "url" , "img" , "lat" , "long" ,
 "Cristo crocifisso" ,  , "http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007117/ICCD2963253_BF#0078A.JPG" , "43.000050" , "13.762269" ,
 "Pentecoste" ,  , "http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007117/ICCD8395214_001841I.jpg" , "43.723547" , "12.636441" ,
 "Sculture “da vestire” - Nero Alberti da Sansepolcro e la produzione di manichini lignei in una bottega del Cinquecento" ,  ,  , "43.111997" , "12.389377" ,
 "motivi vegetali e uccelli" ,  , "http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007117/ICCD3160682_00208641.jpg" , "43.523371" , "13.244497" ,
 "stemma comunale" ,  ,  , "43.262236" , "13.353940" ,
 "Madonna annunciata" ,  ,  , "45.19057528488412" , "9.159002000767392" ,
 "soggetto non figurativo" ,  , "http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007117/ICCD3133257_0105_95613072_3011_IMG0052.jpg" , "43.002387" , "13.764231" ,
 "Antiquarium Comunale di Baschi" ,  ,  , "43.111997" , "12.389377" ,
 "Bollettino per i beni culturali dell'Umbria. Anno 3 N° 04" ,  ,  , "43.111997" , "12.389377" ,
 "ritratto di filosofo" ,  , "http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007117/ICCD3121328_14471.jpg" , "42.853715" , "13.578494" ,
 "Francesco d'Assisi. Storia e Arte." ,  ,  , "43.111997" , "12.389377" ,
 "fuga in Egitto" ,  , "http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007117/ICCD3164566_29221-H.jpg" , "42.853715" , "13.578494" ,
 "putto musicante" ,  , "http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007117/ICCD3126812_4179.jpg" , "43.911161" , "12.913268" ,
 "motivi decorativi astratti" ,  , "http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007117/ICCD3102320_CRBC045649XC.jpg" , "43.316561" , "13.679432" ,
 "interno dell'Eremo di San Marco" ,  ,  , "42.853715" , "13.578494" ,
 "impresa dell'accademico dei Catenati Paolo Fabrizio Perugini" ,  ,  , "43.299014" , "13.451388" ,
 "Santi frati in preghiera" ,  ,  , "43.299014" , "13.451388" ,
 "veduta di Ascoli Piceno" ,  , "http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007117/ICCD3121799_13146.jpg" , "42.853613" , "13.577513" ,
 "Cristo guarisce il paralitico" ,  ,  , "43.911161" , "12.913268" ,
 "veduta della chiesa di San Filippo Neri a Macerata" ,  ,  , "43.299014" , "13.451388" ,
 "Madonna in gloria tra Santi martiri" ,  , "http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007117/ICCD3100270_1413-M.jpg" , "43.056671" , "13.424860" ,
 "Archeologia industriale e territorio a Narni. Elettrocarbonium, Linoleum, Nera Montoro" ,  ,  , "43.111997" , "12.389377" ,
 "Museo dell'Opera del Duomo di Orvieto. Tessere mercantili medievali" ,  ,  , "43.111997" , "12.389377" ,
 "motivi decorativi" ,  ,  , "42.992469" , "13.624796" ,
 "paesaggio montano" ,  ,  , "42.853613" , "13.577513" ,
 "Madonna" ,  ,  , "43.523371" , "13.244497" ,
 "San Lorenzo" ,  ,  , "43.911161" , "12.913268" ,
 "donna anziana allo specchio" ,  ,  , "43.299014" , "13.451388" ,
 "figura maschile e motivi decorativi" ,  , "http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007117/ICCD3133961_0109_97333291_3576_IMG0055.jpg" , "43.002387" , "13.764231" ,
 "Madonna con Bambino" ,  ,  , "42.853715" , "13.578494" ,
 "Museo Regionale della Ceramica di Deruta. Ceramiche di Deruta dei secoli XVII e XVIII" ,  ,  , "43.111997" , "12.389377" ,
 "veduta di città con torrione, case, albero" ,  , "http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007117/ICCD3123716_0047_96253261_1484_img0036.jpg" , "43.521463" , "13.242626" ,
 "Museo dell'Opera del Duomo di Orvieto. Ceramiche" ,  ,  , "43.111997" , "12.389377" ,
 "transito della Madonna" ,  , "http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007117/ICCD3133212_0106_95613072_3010_IMG0100.jpg" , "43.002387" , "13.764231" ,
 "ritratto di monsignor Corrado Martinozzi" ,  ,  , "43.262236" , "13.353940" ,
 "gruppo di donne" ,  , "http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007117/ICCD3132970_0107_95613072_3008_IMG0005.jpg" , "43.002387" , "13.764231" ,
 "San Zaccaria" ,  ,  , "43.299014" , "13.451388" ,
 "volto femminile" ,  , "http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007117/ICCD3133313_0109_97333291_3576_IMG0022.jpg" , "43.002387" , "13.764231" ,
 "giardino reale" ,  ,  , "43.843528" , "13.017442" ,
 "motivi decorativi astratti" ,  ,  , "42.855116" , "13.577896" ,
 "paesaggio" ,  ,  , "42.855116" , "13.577896" ,
 "Maria Vergine" ,  ,  , "42.853715" , "13.578494" ,
 "figura" ,  ,  , "42.855116" , "13.577896" ,
 "pietà" ,  , "http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007117/ICCD3167886_72204-H.jpg" , "43.153825" , "13.481345" ,
 "Raccolte comunali di Assisi. Materiali archeologici, Cultura materiale, antichità egizie" ,  ,  , "43.111997" , "12.389377" ,
 "Bollettino per i beni culturali dell'Umbria. Anno 1 N° 01" ,  ,  , "43.111997" , "12.389377" ,
 "Museo comunale di Terni. Raccolta archeologica – Sezione romana" ,  ,  , "43.111997" , "12.389377" ,
 "ritratto di papa Sisto V" ,  , "http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007117/ICCD3124889_0040_96253261_1487_img0028.jpg" , "43.161469" , "13.718271" ,
 "paesaggio" ,  ,  , "42.853715" , "13.578494" ,
 "Santa Caterina d'Alessandria" ,  , "http://www.sigecweb.beniculturali.it/images/fullsize/ICCD50007117/ICCD3125367_0038_96253261_1462_img0058.jpg" , "43.161469" , "13.718271" ,
 "busto femminile" ,  ,  , "43.620486" , "13.511075" ,
