IMG;BENE_CULTURALE;TITOLO;SOGGETTO;TIPO_SCHEDA;CODICE_UNIVOCO;LOCALIZZAZIONE;CONTENITORE;DATAZIONE;AMBITO_CULTURALE;AUTORE;MATERIA_TECNICA;MISURE;CONDIZIONE_GIURIDICA;DATI_ANALITICI;ISCRIZIONE;NOTIZIE_STORICO-CRITICHE;ALTRA_LOCALIZZAZIONE;REPERIMENTO;ALTRE_ATTRIBUZIONI;COMMITTENZA;DATI_CATASTALI;GEOREFERENZIAZIONE;BIBLIOGRAFIA;DEFINIZIONE;DENOMINAZIONE;CLASSIFICAZIONE;REGIONE;PROVINCIA;COMUNE;LOCALITA;TOPONIMO;DIOCESI;INDIRIZZO;PROVVEDIMENTI_TUTELA;INVENTARIO;STIMA;RAPPORTO;ALTRI_CODICI;ENTE_SCHEDATORE;ENTE_COMPETENTE;AUTORI;ANNO_CREAZIONE;ANNO_MODIFICA;LAT;LON
;"DIPINTO";"";"MADONNA IN GLORIA, DIO PADRE E SANTI";"OA_2.00";"18 00053920";"RC, REGGIO CALABRIA";"MUSEO ARCHEOLOGICO NAZIONALE, LABORATORIO DI RESTAURO, SOPPALCO";"SEC. XVII ; 1600  - 1699 [ANALISI STILISTICA]";"AMBITO MERIDIONALE";"";"OLIO SU TELA";"alt. 153.8, largh. 100.4, ";"PROPRIETA' ENTE LOCALE, COMUNE DI REGGIO CALABRIA";"IN ALTO LA MADONNA, CORONATA DI STELLE, INDICA UN CARTIGLIO CON ISCRIZIONE, RETTO DA ANGELI, DIETRO IL QUALE E' DIO PADRE. IN BASSO SONO SAN GIOVANNI EVANGELISTA E UN SANTO VESCOVO.";" Posizione: SU UN CARTIGLIO IN ALTO A SINISTRA; UNUS DEUS PATER VERBI/ VIVETIS SAPIENT(...)/ SUBSISTENTIS";"";"RC, REGGIO CALABRIA";"";"";"";"";"";"";"DIPINTO";"";"";"";"RC";"REGGIO CALABRIA";"";"";"";"";"";"";"";"";"";"C337 (L.160/88)";"S14";"Compilatore scheda: LOJACONO L.; Funzionario responsabile: IANNACE R.";"1995";"";;
http://www.sigecweb.beniculturali.it/images/fullsize/ICCD12500/ICCD6133034_dd000467.jpg;"DIPINTO";"";"SACRIFICIO DI ISACCO";"OA_2.00";"18 00053946";"RC, REGGIO CALABRIA";"MUSEO ARCHEOLOGICO NAZIONALE, LABORATORIO DI RESTAURO, SOPPALCO";"SECC. XVI/ XVII ; 1700  - 1799 [ANALISI STILISTICA]";"AMBITO ROMANO";"";"OLIO SU TELA";"alt. 102, largh. 75.5, ";"PROPRIETA' ENTE LOCALE, COMUNE DI REGGIO CALABRIA";"HA CORNICE IN LEGNO INTAGLIATO E DORATO";"";"";"RC, REGGIO CALABRIA";"";"";"";"";"";"";"DIPINTO";"";"";"";"RC";"REGGIO CALABRIA";"";"";"";"";"";"";"";"";"";"C337 (L.160/88)";"S14";"Compilatore scheda: LOJACONO L.; Funzionario responsabile: IANNACE R.";"1995";"";;
http://www.sigecweb.beniculturali.it/images/fullsize/ICCD12500/ICCD6133035_dd000468.jpg;"DIPINTO";"";"SACRA FAMIGLIA CON SANT'ANNA";"OA_2.00";"18 00053947";"RC, REGGIO CALABRIA";"MUSEO ARCHEOLOGICO NAZIONALE, LABORATORIO DI RESTAURO, SOPPALCO";"SEC. XVIII ; 1800  - 1899 [ANALISI STILISTICA]";"AMBITO LOCALE";"";"OLIO SU TELA";"alt. 66.7, largh. 49.7, ";"PROPRIETA' ENTE LOCALE, COMUNE DI REGGIO CALABRIA";"HA CORNICE IN LEGNO INTAGLIATO, DIPINTO E PARZIALMENTE DORATO";"";"";"RC, REGGIO CALABRIA";"";"";"";"";"";"";"DIPINTO";"";"";"";"RC";"REGGIO CALABRIA";"";"";"";"";"";"";"";"";"";"C337 (L.160/88)";"S14";"Compilatore scheda: LOJACONO L.; Funzionario responsabile: IANNACE R.";"1995";"";;
http://www.sigecweb.beniculturali.it/images/fullsize/ICCD12500/ICCD6133036_dd000469.jpg;"DIPINTO";"";"BUSTO MASCHILE";"OA_2.00";"18 00053948";"RC, REGGIO CALABRIA";"MUSEO ARCHEOLOGICO NAZIONALE, PRIMO PIANO, UFFICIO CATALOGO";"SEC. XVII ; 1700  - 1799 [ANALISI STILISTICA]";"AMBITO MERIDIONALE";"";"OLIO SU TELA";"alt. 63.6, largh. 49.9, ";"PROPRIETA' ENTE LOCALE, COMUNE DI REGGIO CALABRIA";"";" Posizione: SUL RETRO DELLA TELA; RESTAURATO DAL/ PROF. MICHELE PRESTIPINO DA/ REGGIO CAL. / 1962";"";"RC, REGGIO CALABRIA";"";"";"";"";"";"";"DIPINTO";"";"";"";"RC";"REGGIO CALABRIA";"";"";"";"";"";"";"";"";"";"C337 (L.160/88)";"S14";"Compilatore scheda: LOJACONO L.; Funzionario responsabile: IANNACE R.";"1995";"";;
http://www.sigecweb.beniculturali.it/images/fullsize/ICCD12500/ICCD6133045_dd000478.jpg;"DIPINTO";"";"SAN GREGORIO ISPIRATO DALLO SPIRITO SANTO";"OA_2.00";"18 00053957";"RC, REGGIO CALABRIA";"MUSEO ARCHEOLOGICO NAZIONALE, LABORATORIO DI RESTAURO, SOPPALCO";"SEC. XVII ; 1800  - 1899 [ANALISI STILISTICA]";"AMBITO MERIDIONALE";"";"OLIO SU TELA";"alt. 85.8, largh. 102.4, ";"PROPRIETA' ENTE LOCALE, COMUNE DI REGGIO CALABRIA";"IL SANTO, IN ABITI PONTIFICALI, TIENE SULLE GAMBE UN LIBRO APERTO E VOLGELO SGUARDO ALLA COLOMBA DELLO SPIRITO SANTO. A DESTRA SONO DUE ANGELI.";" Posizione: SUL RETRO DELLA TELA; RESTAURATO DAL / PROF. MICHELE PRESTIPINO DA/ REGGIO CAL. 1959";"";"RC, REGGIO CALABRIA";"";"";"";"";"";"";"DIPINTO";"";"";"";"RC";"REGGIO CALABRIA";"";"";"";"";"";"";"";"";"";"C337 (L.160/88)";"S14";"Compilatore scheda: LOJACONO L.; Funzionario responsabile: IANNACE R.";"1995";"";;
http://www.sigecweb.beniculturali.it/images/fullsize/ICCD12500/ICCD6133047_dd000480.jpg;"DIPINTO";"";"PAESAGGIO FLUVIALE CON FIGURE";"OA_2.00";"18 00053959";"RC, REGGIO CALABRIA";"MUSEO ARCHEOLOGICO NAZIONALE, LABORATORIO DI RESTAURO, SOPPALCO";"SEC. XIX ; 1800  - 1899 [ANALISI STILISTICA]";"AMBITO MERIDIONALE";"";"OLIO SU TELA";"alt. 41.5, largh. 52.4, ";"PROPRIETA' ENTE LOCALE, COMUNE DI REGGIO CALABRIA";"";"";"";"";"";"";"";"";"";"";"DIPINTO";"";"";"";"RC";"REGGIO CALABRIA";"";"";"";"";"";"";"";"";"";"C337 (L.160/88)";"S14";"Compilatore scheda: LOJACONO L.; Funzionario responsabile: IANNACE R.";"1995";"";;
http://www.sigecweb.beniculturali.it/images/fullsize/ICCD12500/ICCD6133048_dd000481.jpg;"DIPINTO";"";"PAESAGGIO CON ROVINE";"OA_2.00";"18 00053960";"RC, REGGIO CALABRIA";"MUSEO ARCHEOLOGICO NAZIONALE, LABORATORIO DI RESTAURO, SOPPALCO";"SEC. XVIII ; 1800  - 1899 [ANALISI STILISTICA]";"AMBITO NAPOLETANO";"";"OLIO SU TELA";"alt. 75, largh. 110.4, ";"PROPRIETA' ENTE LOCALE, COMUNE DI REGGIO CALABRIA";"IN PRIMO PIANO A SINISTRA SONO ROVINE ARCHITETTONICHE, CIRCONDATE DA VEGETAZIONE. SULLO SFONDO A DESTRA E' UNA CASCATA, VERSO CUI SI DIRIGONO DUE FIGURINE";" Posizione: SUL RETRO DELLA TELA; RESTAURATO DAL PROF./ MICHELE PRESTIPINO DA / REGGIO CAL. /1957";"";"";"";"";"";"";"";"";"DIPINTO";"";"";"";"RC";"REGGIO CALABRIA";"";"";"";"";"";"";"";"";"";"C337 (L.160/88)";"S14";"Compilatore scheda: LOJACONO L.; Funzionario responsabile: IANNACE R.";"1995";"";;
http://www.sigecweb.beniculturali.it/images/fullsize/ICCD12500/ICCD6132961_dd000391.jpg;"SCULTURA, FRAMMENTO";"";"";"OA_2.00";"18 00053876";"RC, POLISTENA";"MUSEO CIVICO";"SEC. XIX ; 1864  - 1864 [DOCUMENTAZIONE]";"BOTTEGA LOCALE";"";"PIETRA SCOLPITA";"";"PROPRIETA' ENTE LOCALE, COMUNE DI POLISTENA";"SI TRATTA DI UN ELEMENTO SCOLPITO A FORMA DI PIGNA E DI UN BASSORILIEVO QUADRANGOLARE RAFFIGURANTE UNA MASCHERA, ADIBITA A BOCCA DI FONTANA.";"";"";"RC, POLISTENA";"";"";"";"";"";"";"SCULTURA";"";"";"";"RC";"POLISTENA";"";"";"";"";"";"";"";"";"";"C337 (L.160/88)";"S14";"Compilatore scheda: LOJACONO L.; Funzionario responsabile: IANNACE R.";"1995";"";38.412255;16.059411
http://www.sigecweb.beniculturali.it/images/fullsize/ICCD12500/ICCD6133069_dd000502.jpg;"DIPINTO";"";"SAN MICHELE ARCANGELO COMBATTE CONTRO SATANA";"OA_2.00";"18 00053981";"RC, REGGIO CALABRIA";"MUSEO ARCHEOLOGICO NAZIONALE, LABORATORIO DI RESTAURO, SOPPALCO";"SEC. XVIII ; 1700  - 1799 [ANALISI STILISTICA]";"AMBITO MERIDIONALE";"";"OLIO SU TELA";"alt. 35, largh. 26.8, ";"PROPRIETA' ENTE LOCALE, COMUNE DI REGGIO CALABRIA";"";"";"";"RC, REGGIO CALABRIA";"";"";"";"";"";"";"DIPINTO";"";"";"";"RC";"REGGIO CALABRIA";"";"";"";"";"";"";"";"";"";"C337 (L.160/88)";"S14";"Compilatore scheda: LOJACONO L.; Funzionario responsabile: IANNACE R.";"1995";"";;
http://www.sigecweb.beniculturali.it/images/fullsize/ICCD12500/ICCD6133070_dd000503.jpg;"DIPINTO";"";"RITRATTO MASCHILE";"OA_2.00";"18 00053982";"RC, REGGIO CALABRIA";"MUSEO ARCHEOLOGICO NAZIONALE, LABORATORIO DI RESTAURO, SOPPALCO";"SEC. XVIII ; 1700  - 1799 [ANALISI STILISTICA]";"AMBITO LOCALE";"";"OLIO SU TELA";"alt. 112, largh. 79, ";"PROPRIETA' ENTE LOCALE, COMUNE DI REGGIO CALABRIA";"HA CORNICE IN LEGNO INTAGLIATO E DORATO";"";"";"RC, REGGIO CALABRIA";"";"";"";"";"";"";"DIPINTO";"";"";"";"RC";"REGGIO CALABRIA";"";"";"";"";"";"";"";"";"";"C337 (L.160/88)";"S14";"Compilatore scheda: LOJACONO L.; Funzionario responsabile: IANNACE R.";"1995";"";;
